Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2021,OH,Ohio,Henry,BRFSS,Prevention,Cholesterol screening among adults,%,Age-adjusted prevalence,80.8,,,78.0,83.4,27512,21208,39069,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-84.0682769490792 41.3339046653253)
2022,OH,Ohio,Guernsey,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,18.0,,,14.6,21.4,38098,29746,39059,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-81.494271058754 40.0520872571802)
2022,OH,Ohio,Darke,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,19.2,,,17.6,21.1,51529,39444,39037,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress,POINT (-84.61951761493 40.1332727231473)
2022,OH,Ohio,Meigs,BRFSS,Disability,Any disability among adults,%,Crude prevalence,41.5,,,37.2,45.9,21969,17454,39105,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-82.0228709814014 39.082287647052)
2022,OH,Ohio,Ashland,BRFSS,Health Outcomes,Current asthma among adults,%,Age-adjusted prevalence,11.2,,,9.9,12.6,52181,40624,39005,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-82.2704647361258 40.8460354747863)
2022,OH,Ohio,Greene,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,7.6,,,6.9,8.4,168456,133968,39057,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-83.8900404276245 39.6915038814677)
2022,OH,Ohio,Knox,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Age-adjusted prevalence,23.8,,,20.6,27.0,63183,48910,39083,SOCLNEED,EMOTIONSPT,AgeAdjPrv,Lack of Social/Emotional Support,POINT (-82.4215435805835 40.3988019956419)
2022,OH,Ohio,Cuyahoga,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Age-adjusted prevalence,6.1,,,5.5,6.6,1236041,985264,39035,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-81.658627773816 41.4243019834267)
2021,OH,Ohio,Guernsey,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted prevalence,62.1,,,57.4,66.5,38098,29746,39059,PREVENT,BPMED,AgeAdjPrv,High Blood Pressure Medication,POINT (-81.494271058754 40.0520872571802)
2021,OH,Ohio,Geauga,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,35.7,,,31.6,39.9,95469,74460,39055,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-81.1785666230898 41.4995505355057)
2022,OH,Ohio,Hardin,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Age-adjusted prevalence,74.0,,,70.0,77.8,30416,23363,39065,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-83.6594148955231 40.6616220714596)
2022,OH,Ohio,Erie,BRFSS,Health Outcomes,Current asthma among adults,%,Age-adjusted prevalence,10.7,,,9.5,12.0,74501,59951,39043,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-82.6382293326083 41.3742735650267)
2022,OH,Ohio,Henry,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,42.7,,,35.2,50.6,27512,21208,39069,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-84.0682769490792 41.3339046653253)
2022,OH,Ohio,Highland,BRFSS,Disability,Mobility disability among adults,%,Age-adjusted prevalence,16.4,,,14.8,17.9,43391,33171,39071,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-83.6009281179684 39.1846774295258)
2022,OH,Ohio,Franklin,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,9.3,,,8.3,10.5,1321820,1018815,39049,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat,POINT (-83.0095596369965 39.9695482397033)
2022,OH,Ohio,Marion,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,27.3,,,24.0,30.7,64642,50880,39101,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-83.1608334768194 40.5872736718226)
2022,OH,Ohio,Mercer,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,19.3,,,17.4,21.3,42348,31316,39107,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-84.6293396544299 40.5399599689642)
2022,OH,Ohio,Marion,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,57.0,,,53.6,60.4,64642,50880,39101,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-83.1608334768194 40.5872736718226)
2022,OH,Ohio,Cuyahoga,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,15.8,,,14.3,17.5,1236041,985264,39035,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity,POINT (-81.658627773816 41.4243019834267)
2022,OH,Ohio,Meigs,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,39.5,,,37.9,41.1,21969,17454,39105,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-82.0228709814014 39.082287647052)
2022,OH,Ohio,Brown,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8.3,,,7.3,9.3,43680,33820,39015,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-83.8672503844998 38.933768273729)
2022,OH,Ohio,Jackson,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,43.7,,,37.4,50.4,32586,24880,39079,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-82.6182154386703 39.019742017525)
2022,OH,Ohio,Crawford,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Age-adjusted prevalence,10.2,,,9.2,11.2,41522,32608,39033,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-82.9197685705352 40.8507264130061)
2022,OH,Ohio,Gallia,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Age-adjusted prevalence,9.6,,,8.4,10.8,29068,22281,39053,SOCLNEED,SHUTUTILITY,AgeAdjPrv,Utility Services Threat,POINT (-82.3168675618097 38.8247465141511)
2022,OH,Ohio,Auglaize,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,4.5,,,4.1,5.0,45948,35074,39011,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-84.2217028293862 40.5608789781255)
2021,OH,Ohio,Miami,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,37.3,,,33.2,41.5,110247,85193,39109,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-84.2289753159029 40.0535853378213)
2022,OH,Ohio,Allen,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,71.9,,,65.2,78.2,101115,77523,39003,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-84.1057940825963 40.7714977646394)
2022,OH,Ohio,Harrison,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,17.0,,,15.3,18.9,14378,11389,39067,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-81.091379743179 40.2936613564664)
2022,OH,Ohio,Jackson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,7.9,,,6.9,8.9,32586,24880,39079,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-82.6182154386703 39.019742017525)
2022,OH,Ohio,Champaign,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,15.1,,,13.5,16.9,38709,30246,39021,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,POINT (-83.7695338263695 40.1377112794664)
2021,OH,Ohio,Licking,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,35.0,,,31.1,39.1,181359,140209,39089,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-82.4830744738759 40.0915299705467)
2022,OH,Ohio,Marion,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,20.5,,,18.8,22.5,64642,50880,39101,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress,POINT (-83.1608334768194 40.5872736718226)
2022,OH,Ohio,Marion,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,17.5,,,15.8,19.4,64642,50880,39101,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-83.1608334768194 40.5872736718226)
2022,OH,Ohio,Athens,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,13.3,,,12.0,14.7,58979,50122,39009,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-82.0448471943357 39.3339958943025)
2022,OH,Ohio,Lawrence,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Age-adjusted prevalence,7.4,,,6.7,8.2,56653,44509,39087,HLTHOUT,CANCER,AgeAdjPrv,Cancer (non-skin) or Melanoma,POINT (-82.536984256161 38.5987545151818)
2022,OH,Ohio,Ashtabula,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Age-adjusted prevalence,51.6,,,46.6,56.3,97014,76002,39007,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-80.7483101330855 41.7071560039231)
2022,OH,Ohio,Madison,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Age-adjusted prevalence,13.1,,,11.6,14.7,43540,34825,39097,SOCLNEED,FOODSTAMP,AgeAdjPrv,Food Stamps,POINT (-83.4006589159011 39.894160047348)
2022,OH,Ohio,Fairfield,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Age-adjusted prevalence,13.0,,,11.6,14.5,162898,124397,39045,SOCLNEED,FOODSTAMP,AgeAdjPrv,Food Stamps,POINT (-82.6306572277557 39.7516133054728)
2022,OH,Ohio,Clark,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,9.5,,,8.6,10.5,134831,104795,39023,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,POINT (-83.7843901210144 39.9166223719097)
2022,OH,Ohio,Hancock,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,24.2,,,21.1,27.8,74861,58728,39063,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-83.6664968686287 41.0019198179089)
2021,OH,Ohio,Gallia,BRFSS,Health Outcomes,High blood pressure among adults,%,Age-adjusted prevalence,33.9,,,30.3,37.9,29068,22281,39053,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-82.3168675618097 38.8247465141511)
2022,OH,Ohio,Mercer,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,7.5,,,6.8,8.3,42348,31316,39107,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,POINT (-84.6293396544299 40.5399599689642)
2022,OH,Ohio,Licking,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.0,,,2.7,3.3,181359,140209,39089,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-82.4830744738759 40.0915299705467)
2022,OH,Ohio,Ashland,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Age-adjusted prevalence,33.7,,,28.8,39.0,52181,40624,39005,SOCLNEED,ISOLATION,AgeAdjPrv,Social Isolation,POINT (-82.2704647361258 40.8460354747863)
2022,OH,Ohio,Greene,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,27.2,,,24.5,30.3,168456,133968,39057,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-83.8900404276245 39.6915038814677)
2022,OH,Ohio,Logan,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Age-adjusted prevalence,75.2,,,70.9,79.0,46040,35671,39091,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-83.76563102183 40.3884968079535)
2022,OH,Ohio,Defiance,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.1,,,9.8,12.5,38187,29606,39039,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-84.4905879101881 41.3239133830731)
2022,OH,Ohio,Franklin,BRFSS,Disability,Cognitive disability among adults,%,Age-adjusted prevalence,14.7,,,13.3,16.0,1321820,1018815,39049,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-83.0095596369965 39.9695482397033)
2022,OH,Ohio,Athens,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,23.6,,,20.7,26.7,58979,50122,39009,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-82.0448471943357 39.3339958943025)
2022,OH,Ohio,Jackson,BRFSS,Disability,Vision disability among adults,%,Age-adjusted prevalence,5.9,,,5.3,6.4,32586,24880,39079,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-82.6182154386703 39.019742017525)
2021,OH,Ohio,Columbiana,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted prevalence,60.9,,,56.2,65.5,100511,80353,39029,PREVENT,BPMED,AgeAdjPrv,High Blood Pressure Medication,POINT (-80.7772020501573 40.7684220366661)
2022,OH,Ohio,Crawford,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,9.3,,,8.3,10.4,41522,32608,39033,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-82.9197685705352 40.8507264130061)
2022,OH,Ohio,Lawrence,BRFSS,Disability,Hearing disability among adults,%,Age-adjusted prevalence,7.5,,,6.7,8.3,56653,44509,39087,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-82.536984256161 38.5987545151818)
2021,OH,Ohio,Meigs,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Age-adjusted prevalence,31.7,,,27.6,35.9,21969,17454,39105,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-82.0228709814014 39.082287647052)
2022,OH,Ohio,Darke,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Age-adjusted prevalence,20.9,,,17.4,24.7,51529,39444,39037,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-84.61951761493 40.1332727231473)
2021,OH,Ohio,Henry,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,35.2,,,30.9,39.7,27512,21208,39069,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-84.0682769490792 41.3339046653253)
2022,OH,Ohio,Gallia,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Age-adjusted prevalence,13.8,,,12.3,15.4,29068,22281,39053,SOCLNEED,FOODINSECU,AgeAdjPrv,Food Insecurity,POINT (-82.3168675618097 38.8247465141511)
2022,OH,Ohio,Huron,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,73.5,,,65.8,79.9,58218,44548,39077,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-82.5978887799573 41.1464249274686)
2021,OH,Ohio,Ashland,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,37.6,,,33.6,41.8,52181,40624,39005,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-82.2704647361258 40.8460354747863)
2022,OH,Ohio,Greene,BRFSS,Disability,Any disability among adults,%,Age-adjusted prevalence,28.4,,,25.2,32.0,168456,133968,39057,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-83.8900404276245 39.6915038814677)
2022,OH,Ohio,Franklin,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Age-adjusted prevalence,17.7,,,16.1,19.2,1321820,1018815,39049,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-83.0095596369965 39.9695482397033)
2022,OH,Ohio,Clinton,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,29.3,,,24.9,33.9,41964,32647,39027,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-83.8084036693333 39.4149624798012)
2021,OH,Ohio,Holmes,BRFSS,Health Outcomes,High blood pressure among adults,%,Age-adjusted prevalence,32.9,,,28.9,37.2,44390,31071,39075,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-81.9295580157618 40.5612300981469)
2022,OH,Ohio,Fairfield,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,16.1,,,14.5,17.8,162898,124397,39045,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-82.6306572277557 39.7516133054728)
2022,OH,Ohio,Fairfield,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,14.3,,,12.8,15.9,162898,124397,39045,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,POINT (-82.6306572277557 39.7516133054728)
2022,OH,Ohio,Cuyahoga,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.3,,,3.0,3.6,1236041,985264,39035,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-81.658627773816 41.4243019834267)
2021,OH,Ohio,Jackson,BRFSS,Health Outcomes,High blood pressure among adults,%,Age-adjusted prevalence,34.8,,,31.2,38.5,32586,24880,39079,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-82.6182154386703 39.019742017525)
2022,OH,Ohio,Cuyahoga,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Age-adjusted prevalence,35.6,,,32.2,39.4,1236041,985264,39035,SOCLNEED,ISOLATION,AgeAdjPrv,Social Isolation,POINT (-81.658627773816 41.4243019834267)
2021,OH,Ohio,Clark,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Age-adjusted prevalence,28.3,,,24.3,32.4,134831,104795,39023,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-83.7843901210144 39.9166223719097)
2022,OH,Ohio,Marion,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Age-adjusted prevalence,12.8,,,11.3,14.4,64642,50880,39101,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-83.1608334768194 40.5872736718226)
2022,OH,Ohio,Ashtabula,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,16.3,,,14.7,18.0,97014,76002,39007,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,POINT (-80.7483101330855 41.7071560039231)
2022,OH,Ohio,Clermont,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,18.7,,,16.5,21.0,210805,164528,39025,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,POINT (-84.1516609554165 39.0475584272622)
2022,OH,Ohio,Lucas,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,10.0,,,8.9,11.3,426643,329973,39095,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat,POINT (-83.6584628770734 41.6198809742992)
2022,OH,Ohio,Franklin,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.3,,,3.0,3.6,1321820,1018815,39049,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-83.0095596369965 39.9695482397033)
2022,OH,Ohio,Lorain,BRFSS,Disability,Self-care disability among adults,%,Age-adjusted prevalence,3.5,,,3.3,3.8,316268,248544,39093,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-82.1508887298398 41.2956651025634)
2022,OH,Ohio,Gallia,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8.2,,,7.2,9.2,29068,22281,39053,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-82.3168675618097 38.8247465141511)
2022,OH,Ohio,Hocking,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,8.8,,,7.7,10.0,27858,21851,39073,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat,POINT (-82.4790929531545 39.4970988676517)
2022,OH,Ohio,Butler,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,8.5,,,7.7,9.4,388420,298743,39017,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,POINT (-84.5755446176036 39.4386549224371)
2022,OH,Ohio,Knox,BRFSS,Disability,Independent living disability among adults,%,Age-adjusted prevalence,8.4,,,7.6,9.3,63183,48910,39083,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-82.4215435805835 40.3988019956419)
2022,OH,Ohio,Madison,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,16.5,,,13.8,19.9,43540,34825,39097,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-83.4006589159011 39.894160047348)
2022,OH,Ohio,Brown,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,17.5,,,15.8,19.4,43680,33820,39015,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-83.8672503844998 38.933768273729)
2022,OH,Ohio,Fairfield,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Age-adjusted prevalence,20.5,,,17.1,24.1,162898,124397,39045,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-82.6306572277557 39.7516133054728)
2022,OH,Ohio,Holmes,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,57.7,,,52.4,63.0,44390,31071,39075,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-81.9295580157618 40.5612300981469)
2022,OH,Ohio,Fulton,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,19.2,,,17.3,21.2,42171,32496,39051,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress,POINT (-84.1297060031289 41.6019480693719)
2022,OH,Ohio,Lake,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.9,,,3.5,4.2,231842,187697,39085,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-81.2368191610819 41.6970249003529)
2022,OH,Ohio,Hocking,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Age-adjusted prevalence,8.4,,,7.6,9.3,27858,21851,39073,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-82.4790929531545 39.4970988676517)
2022,OH,Ohio,Hardin,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Age-adjusted prevalence,55.8,,,50.7,60.8,30416,23363,39065,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-83.6594148955231 40.6616220714596)
